,PseudoTime1,PseudoTime2
E801_438,,0.54762
E1_769,,0.96241
E1795_733,0.9172899999999999,
E645_767,,0.9599
E487_58,,0.07143
E284_5,,0.0050100000000000006
E1797_596,0.74561,
E1058_571,,0.71429
E426_671,0.8396,
E1421_298,,0.37218
E1342_303,,0.37845
E1838_217,,0.27068000000000003
E1205_441,,0.55138
E243_17,,0.02005
E1297_71,0.08772,
E955_615,,0.76942
E1249_687,,0.85965
E911_206,,0.25689
E356_143,,0.17794000000000001
E585_315,,0.39348
E1875_274,,0.34210999999999997
E1395_781,0.97744,
E64_718,,0.8985
E1582_573,0.7167899999999999,
E395_752,0.9411,
E700_361,,0.45113000000000003
E709_134,,0.16667
E1343_759,0.9498700000000001,
E84_794,0.9937299999999999,
E1434_21,,0.02506
E1329_321,,0.401
E322_105,,0.13033
E140_372,0.46491000000000005,
E106_563,0.70426,
E1606_316,0.39474000000000004,
E1508_539,,0.67419
E1102_404,0.5050100000000001,
E905_125,,0.15539
E1196_515,,0.6441100000000001
E552_450,,0.56266
E1698_699,,0.87469
E1401_220,0.27444,
E1097_282,0.35213,
E1538_410,0.51253,
E676_765,,0.95739
E414_718,0.8985,
E92_524,0.6553899999999999,
E1416_382,0.47744,
E1179_586,,0.7330800000000001
E1597_383,0.4787,
E1680_760,,0.9511299999999999
E670_789,0.9874700000000001,
E1748_438,,0.54762
E831_421,,0.52632
E125_263,,0.32832
E1830_130,0.16165,
E960_401,0.50125,
E722_718,0.8985,
E30_71,0.08772,
E1561_285,0.35589,
E242_213,,0.26566
E496_41,,0.05013
E1647_587,0.73434,
E566_374,0.46742,
E1673_380,0.47494,
E1846_453,,0.56642
E717_283,0.35338,
E410_465,0.58145,
E396_717,0.8972399999999999,
E1225_707,,0.88471
E593_600,,0.75063
E1514_727,,0.9097700000000001
E1287_584,0.73058,
E1193_657,,0.82206
E1978_106,,0.13158
E1694_570,0.71303,
E1534_250,0.31203000000000003,
E1798_332,,0.41478999999999994
E1651_442,0.5526300000000001,
E1500_157,0.19549,
E1427_564,0.7055100000000001,
E437_616,,0.77068
E14_185,0.23058,
E1134_316,0.39474000000000004,
E1032_80,,0.099
E1603_103,0.12782000000000002,
E1745_261,0.32581,
E31_193,,0.2406
E1028_546,0.68296,
E1332_139,,0.17293
E581_748,0.93609,
E1436_616,,0.77068
E928_447,0.5589,
E201_173,,0.21554
E1354_463,0.57895,
E1525_123,,0.15288
E1857_722,0.90351,
E972_555,,0.69424
E21_284,,0.35464
E619_656,0.8208,
E241_603,,0.75439
E927_432,0.5401,
E949_413,0.5162899999999999,
E65_389,,0.48622
E521_479,,0.599
E639_425,0.53133,
E1682_535,0.6691699999999999,
E785_147,0.18295999999999998,
E1402_204,,0.25439
E925_539,0.67419,
E1714_532,,0.6654100000000001
E1821_155,,0.19297999999999998
E111_653,0.81704,
E965_694,,0.8684200000000001
E1591_489,,0.61153
E815_68,,0.08396
E1071_726,,0.9085200000000001
E1224_51,0.06266000000000001,
E1173_513,0.6416,
E1001_757,,0.94737
E896_532,0.6654100000000001,
E656_613,,0.7669199999999999
E25_681,,0.8521299999999999
E875_422,,0.52757
E429_653,,0.81704
E188_127,0.15789,
E1662_719,,0.89975
E347_782,,0.9787
E1979_450,0.56266,
E702_416,0.52005,
E399_306,0.38221,
E542_184,,0.22931999999999997
E608_441,,0.55138
E424_145,0.18045,
E1907_370,0.46241000000000004,
E816_174,,0.21679
E1481_471,,0.58897
E721_426,0.53258,
E954_311,,0.38847
E571_258,,0.32206
E695_366,,0.45738999999999996
E1575_617,0.77193,
E737_495,,0.61905
E699_539,,0.67419
E1221_300,0.37469,
E661_771,,0.96491
E596_61,0.07518999999999999,
E1588_183,,0.22807
E1666_592,,0.7406
E1679_65,,0.0802
E1974_319,,0.3985
E583_19,0.02256,
E665_251,,0.31328
E1231_701,,0.8771899999999999
E1294_148,0.18420999999999998,
E1043_653,,0.81704
E500_71,0.08772,
E1918_389,,0.48622
E1541_65,,0.0802
E784_428,,0.53509
E1248_501,0.62657,
E1625_294,0.36717,
E187_154,0.19172999999999998,
E449_83,,0.10275999999999999
E1358_586,0.7330800000000001,
E1519_47,,0.05764
E255_608,,0.76065
E169_347,0.43358,
E1971_463,,0.57895
E1007_131,,0.16291
E859_551,0.6892199999999999,
E689_86,0.10652,
E1026_622,0.7782,
E937_440,,0.55013
E1860_226,0.28195,
E1324_629,0.78697,
E1839_336,,0.4198
E973_228,0.28446,
E38_31,0.03759,
E59_681,,0.8521299999999999
E1636_784,0.9812,
E1437_241,,0.30075
E37_593,0.74185,
E1496_198,0.24686999999999998,
E1619_714,0.8934799999999999,
E7_697,0.87218,
E1692_585,,0.73183
E1111_381,,0.47618999999999995
E1768_507,0.6340899999999999,
E1303_476,,0.59524
E632_727,,0.9097700000000001
E880_391,,0.48872
E586_6,,0.00627
E119_549,,0.68672
E57_719,0.89975,
E1236_630,,0.78822
E1896_709,,0.8872200000000001
E1713_149,,0.18545999999999999
E1681_291,0.36341,
E1299_162,,0.20175
E654_183,,0.22807
E29_343,,0.42857
E100_667,,0.8345899999999999
E338_92,0.11404,
E704_238,,0.29699000000000003
E885_369,0.46115,
E71_405,,0.50627
E1115_93,,0.11529
E730_39,0.047619999999999996,
E1624_645,0.80702,
E1355_693,0.8671700000000001,
E32_227,,0.28321
E1693_369,0.46115,
E626_529,0.66165,
E1320_711,,0.8897200000000001
E1585_248,0.30951999999999996,
E747_657,0.82206,
E1388_390,0.48746999999999996,
E319_143,0.17794000000000001,
E568_418,,0.52256
E114_166,0.20676999999999998,
E1136_650,,0.81328
E1955_328,0.40976999999999997,
E1445_474,0.59273,
E594_701,0.8771899999999999,
E1290_119,,0.14787
E797_250,0.31203000000000003,
E225_368,,0.4599
E168_137,,0.17043
E1775_376,,0.46992
E1468_472,,0.59023
E1789_94,,0.11654
E1362_662,,0.8283200000000001
E384_175,,0.21805
E507_744,0.9310799999999999,
E894_373,,0.46617
E1592_152,,0.18922
E834_796,0.99624,
E1198_713,,0.89223
E757_521,,0.65163
E150_782,,0.9787
E1644_448,,0.56015
E443_357,,0.44611999999999996
E860_310,,0.38722
E683_395,,0.49373
E1776_314,,0.39223
E1450_314,,0.39223
E1341_383,,0.4787
E895_142,,0.17669
E415_10,,0.01128
E1403_381,,0.47618999999999995
E1132_625,0.78195,
E1643_356,0.44486000000000003,
E1494_315,,0.39348
E421_358,0.44737,
E633_340,0.42481,
E638_462,,0.5776899999999999
E1345_742,0.9285700000000001,
E1802_653,0.81704,
E944_155,,0.19297999999999998
E1255_514,,0.64286
E754_372,,0.46491000000000005
E929_495,,0.61905
E1363_490,0.61278,
E1607_637,0.79699,
E769_582,,0.72807
E98_679,0.84962,
E156_137,,0.17043
E1929_239,,0.29825
E1641_622,,0.7782
E1792_547,,0.68421
E1774_176,,0.2193
E10_242,,0.30201
E34_399,,0.49875
E1361_380,,0.47494
E1524_148,,0.18420999999999998
E1109_476,,0.59524
E422_762,,0.95363
E799_184,,0.22931999999999997
E565_772,0.9661700000000001,
E1366_648,0.8107800000000001,
E1000_636,,0.79574
E1820_274,,0.34210999999999997
E439_388,,0.48496000000000006
E350_735,,0.9198
E893_217,,0.27068000000000003
E1121_715,0.89474,
E1640_453,0.56642,
E789_541,0.67669,
E335_231,,0.28822
E1877_261,,0.32581
E1785_558,,0.69799
E1169_24,,0.02882
E549_767,0.9599,
E397_704,0.88095,
E471_554,,0.69298
E262_603,,0.75439
E553_793,,0.9924799999999999
E767_756,0.9461200000000001,
E1189_140,,0.17419
E673_437,,0.54637
E1204_788,,0.9862200000000001
E1238_95,,0.11779
E1885_64,,0.07895
E441_330,0.41228000000000004,
E198_256,,0.31955
E580_426,,0.53258
E1834_415,,0.5188
E776_641,,0.80201
E1847_617,0.77193,
E615_778,,0.9736799999999999
E228_16,0.0188,
E1570_80,0.099,
E701_480,,0.60025
E768_628,0.78571,
E1203_197,0.24561,
E171_71,0.08772,
E194_357,,0.44611999999999996
E775_631,0.78947,
E1840_791,0.9899700000000001,
E561_118,,0.14662
E926_548,0.6854600000000001,
E969_237,0.29574,
E110_797,,0.99749
E662_138,0.17168,
E1474_234,0.29198,
E590_34,,0.04135
E666_602,,0.75313
E640_50,,0.0614
E467_107,,0.13283
E1849_535,,0.6691699999999999
E288_559,0.69925,
E1208_87,0.10777,
E285_667,,0.8345899999999999
E822_495,,0.61905
E1191_299,,0.37343000000000004
E829_28,0.03383,
E1773_424,,0.53008
E1521_409,0.5112800000000001,
E1759_113,0.14035,
E711_169,0.21053000000000002,
E1577_72,,0.08897000000000001
E1556_278,0.34712,
E1240_377,,0.47118000000000004
E910_596,0.74561,
E200_237,0.29574,
E780_72,0.08897000000000001,
E531_433,,0.54135
E1760_745,,0.9323299999999999
E725_693,,0.8671700000000001
E300_171,,0.21303000000000002
E835_21,,0.02506
E1517_169,,0.21053000000000002
E376_304,,0.3797
E132_308,,0.38471
